date,avg_temp,min_temp,max_temp,precipitation
"February, 2014",30.4,23.2,37.5,4.85
"January, 2014",28,20.4,35.7,2.63
"December, 2013",37.3,30.8,43.8,4.56
"November, 2013",44.4,36.5,52.2,3.24
"October, 2013",59.2,51.2,67.2,0.48
"September, 2013",66.5,57.1,75.8,2.71
"August, 2013",74,66.2,81.8,2.9
"July, 2013",79.7,72,87.4,3.1
"June, 2013",72.2,63.4,80.9,8.67
"May, 2013",61.7,52.4,71,5.92
"April, 2013",51.6,42.3,60.8,1.33
"March, 2013",39.5,33,46,2.59
"February, 2013",33.4,27.1,39.7,3.29
"January, 2013",34.8,28.2,41.4,2.63
"December, 2012",41.2,35.2,47.2,4.91
"November, 2012",43.3,36.2,50.3,1.36
"October, 2012",58.4,51.4,65.2,3.26
"September, 2012",68.6,60.7,76.6,4.53
"August, 2012",76.8,68.4,85.2,3.01
"July, 2012",79,69.9,88.1,3.63
"June, 2012",71.1,62.3,80,4.09
"May, 2012",64.9,57.3,72.4,5.32
"April, 2012",54,44.2,63.8,3.19
"March, 2012",50.1,41,59.2,1.07
"February, 2012",40.1,32.8,47.4,1.39
"January, 2012",36.7,29,44.4,2.63
"December, 2011",41.9,33.8,50,4.23
"November, 2011",50.6,42.4,58.8,3.26
"October, 2011",57.2,49.4,64.9,5.38
"September, 2011",70.2,63.4,77,7.86
"August, 2011",75.6,67.6,83.5,16.86
"July, 2011",79.9,70.8,88.9,2.53
"June, 2011",72.4,63.7,81.1,3.85
"May, 2011",63.9,55.6,72.2,4.89
"April, 2011",53.2,44.7,61.7,5.92
"March, 2011",41.7,33.9,49.5,6.45
"February, 2011",34.6,25.8,43.4,3.54
"January, 2011",29.2,23,35.4,3.63
"December, 2010",32.9,27.1,38.8,3.67
"November, 2010",47.3,40.2,54.4,2.1
"October, 2010",58,49.9,66,4.52
"September, 2010",70.5,62.3,78.7,3.37
"August, 2010",76.6,68.2,85,3.15
"July, 2010",80.6,71.2,90.1,3.21
"June, 2010",74.6,65.2,84,2.03
"May, 2010",65.2,55.3,75.1,2.96
"April, 2010",56.7,46.2,67.1,2.75
"March, 2010",47.2,39.6,54.9,9.77
"February, 2010",33,27.5,38.4,5.35
