date,avg_temp,min_temp,max_temp,precipitation
"January, 2014",28.3,20.5,36.1,2.8
"December, 2013",37.7,31.1,44.4,4.75
"November, 2013",44.7,36.6,52.8,2.96
"October, 2013",59.3,51.1,67.5,0.42
"September, 2013",66.6,57.1,76,2.54
"August, 2013",74,66.3,81.8,2.72
"July, 2013",79.5,71.8,87.2,2.65
"June, 2013",71.6,63.1,80.1,8.44
"May, 2013",61.1,52,70.2,5.29
"April, 2013",51.2,42,60.3,1.55
"March, 2013",39.7,32.9,46.5,2.62
"February, 2013",33.8,27.3,40.2,3.32
"January, 2013",35.1,28.4,41.8,2.62
"December, 2012",41.5,35.4,47.6,5.03
"November, 2012",43.4,36.3,50.5,1.56
"October, 2012",58.4,51.3,65.4,2.73
"September, 2012",68.7,60.8,76.6,4.49
"August, 2012",76.7,68.5,84.9,3.4
"July, 2012",78.7,69.8,87.6,2.88
"June, 2012",71,62.2,79.7,5.17
"May, 2012",64.3,56.7,71.8,5.67
"April, 2012",53.9,44.2,63.5,3.23
"March, 2012",49.7,40.9,58.4,1.14
"February, 2012",40.4,33.1,47.7,1.36
"January, 2012",37,29.2,44.8,2.61
"December, 2011",42.2,34.2,50.2,3.86
"November, 2011",50.6,42.4,58.8,3.3
"October, 2011",57.3,49.4,65.2,5.09
"September, 2011",70,63.1,76.8,6.68
"August, 2011",75.6,67.6,83.5,17.19
"July, 2011",80,70.6,89.3,2.71
"June, 2011",72.6,63.9,81.3,3.12
"May, 2011",63.6,55.5,71.7,4.09
"April, 2011",52.8,44.3,61.2,5.18
"March, 2011",42,34.1,49.9,5.67
"February, 2011",35.2,26.4,44,3.48
"January, 2011",29.4,23.3,35.6,3.93
"December, 2010",33.2,27.3,39.2,3.55
"November, 2010",47.4,40.3,54.6,2.07
"October, 2010",57.9,49.6,66.2,4.71
"September, 2010",70.4,62,78.8,3.72
"August, 2010",76.6,68.3,84.9,3.12
"July, 2010",81,71.6,90.3,2.78
"June, 2010",74.9,65.4,84.3,1.69
"May, 2010",64.6,54.7,74.5,2.55
"April, 2010",56.2,46.1,66.3,3.06
